n,bruteforce_money,bruteforce_weight,bruteforce_time,dp_money,dp_time
5,67,42,1.1833966709673405e-05,67,1.0333023965358734e-05
10,84,42,0.0004563749535009265,84,1.9542057998478413e-05
15,96,45,0.026057666051201522,96,3.62080754712224e-05
20,114,45,0.8485453750472516,114,3.841705620288849e-05
21,114,45,1.790833625011146,114,4.012498538941145e-05
23,124,45,7.846320208045654,124,4.5082997530698776e-05
24,124,45,16.15457816689741,124,4.666694439947605e-05
25,124,45,33.78545266704168,124,4.612503107637167e-05
